district_name,town,matched_pwsid,matched_pws_name,PWS_Name,roster_pop,epa_pop,difference
Pownal Fire District 2,Pownal,VT0020734,POWNAL FIRE DISTRICT 2,POWNAL FIRE DISTRICT 2,682.0,400,282.0
Rutland Town Fire District 11,Rutland Town,VT0005534,,RUTLAND TOWN FIRE DISTRICT 1,29.0,401,-372.0
