district_name,town,district_type,services,population,districts_in_town,single_district_town,has_legal_charter,matched_pwsid,matched_pws_name,match_score,match_status,has_service_polygon,political_bnd_proxy
Norwich Fire District 1,Norwich,Fire District,Water,870,1,TRUE,FALSE,VT0005326,NORWICH FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Peacham Fire District 1,Peacham,Fire District,Water,150,1,TRUE,FALSE,VT0005042,PEACHAM FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Pownal Fire District 2,Pownal,Fire District,Water,682,2,FALSE,FALSE,VT0020734,POWNAL FIRE DISTRICT 2,100,auto_confident,Y,
Pownal Fire District 3,Pownal,Fire District,Water,60,2,FALSE,FALSE,VT0005517,POWNAL FIRE DISTRICT 3,100,auto_confident,Y,
Richmond Fire District 1,Richmond,Fire District,Water,56,1,TRUE,FALSE,VT0005426,RICHMOND FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Royalton Fire District 1,Royalton,Fire District,Water,1500,1,TRUE,FALSE,VT0005330,ROYALTON FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Rutland Town Fire District 5,Rutland Town,Fire District,Water,110,5,FALSE,FALSE,VT0005429,RUTLAND TOWN FIRE DISTRICT 5,100,auto_confident,Y,
Rutland Town Fire District 1,Rutland Town,Fire District,Water,401,5,FALSE,FALSE,VT0005534,RUTLAND TOWN FIRE DISTRICT 1,100,auto_confident,Y,
Rutland Town Fire District 11,Rutland Town,Fire District,Water,29,5,FALSE,FALSE,VT0005534,,,,,
Rutland Town Fire District 4,Rutland Town,Fire District,Water,136,5,FALSE,FALSE,VT0020885,RUTLAND TOWN FIRE DISTRICT 4,100,auto_confident,Y,
Rutland Town Fire District 6,Rutland Town,Fire District,Water,137,5,FALSE,FALSE,VT0005378,RUTLAND TOWN FIRE DISTRICT 6,100,auto_confident,Y,
Ryegate Fire District 2,Ryegate,Fire District,Water & WW,131,1,TRUE,FALSE,VT0005043,RYEGATE FIRE DISTRICT 2,100,auto_confident,Y,service_area_proxy
Sheffield Fire District 1,Sheffield,Fire District,Water,50,1,TRUE,FALSE,VT0005381,SHEFFIELD FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Cuttingsville Fire District,Shrewsbury,Fire District,Water,108,1,TRUE,FALSE,VT0005241,CUTTINGSVILLE FIRE DISTRICT,100,auto_confident,Y,service_area_proxy
South Burlington Fire District,South Burlington,Fire District,Water,250,2,FALSE,FALSE,VT0005090,SOUTH BURLINGTON FIRE DISTRICT,100,auto_confident,Y,
South Hero Fire District 4,South Hero,Fire District,Water,760,1,TRUE,FALSE,VT0020080,SOUTH HERO FIRE DISTRICT 4,100,auto_confident,Y,service_area_proxy
St George Fire District 1,St George,Fire District,Water,42,2,FALSE,TRUE,VT0005093,ST GEORGE FIRE DISTRICT 1,100,auto_confident,Y,
St George Fire District 2,St George,Fire District,Water,72,2,FALSE,TRUE,VT0005094,ST GEORGE FIRE DISTRICT #2,100,auto_confident,Y,
St Johnsbury Center Fire District 1,St Johnsbury,Fire District,Water,370,1,TRUE,FALSE,VT0005046,ST JOHNSBURY CENTER F D 1,93.87755102040816,auto_confident,Y,service_area_proxy
Stowe Fire District 2 Gold Brook Circle,Stowe,Fire District,Water,86,2,FALSE,FALSE,VT0005168,STOWE F D 2 GOLD BROOK CIRCLE,94.73684210526316,auto_confident,Y,
Stowe Fire District 4,Stowe,Fire District,Water,120,2,FALSE,FALSE,VT0005523,STOWE FIRE DISTRICT 4,100,auto_confident,Y,
Winhall-Stratton Fire District 1,Stratton,Fire District,Water & WW,6200,1,TRUE,FALSE,VT0005305,WINHALL STRATTON F D 1,93.02325581395348,auto_confident,Y,service_area_proxy
Wallingford Fire District 1,Wallingford,Fire District,Water & WW,956,1,TRUE,FALSE,VT0005242,WALLINGFORD FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Washington Fire District,Washington,Fire District,Water,170,1,TRUE,FALSE,VT0005185,WASHINGTON FIRE DISTRICT,100,auto_confident,Y,service_area_proxy
Waterville Fire District 1,Waterville,Fire District,Water,84,1,TRUE,FALSE,VT0005169,WATERVILLE FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Ascutney Fire District 2,Weathersfield,Fire District,Water,485,1,TRUE,FALSE,VT0005339,ASCUTNEY FIRE DISTRICT #2,100,auto_confident,Y,service_area_proxy
Westfield Fire District 1,Westfield,Fire District,Water,120,1,TRUE,FALSE,VT0005207,WESTFIELD FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Westford Fire District 1,Westford,Fire District,Water & WW,50,1,TRUE,FALSE,VT0005450,WESTFORD FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Wheelock Fire District 1,Wheelock,Fire District,Water,50,1,TRUE,FALSE,VT0005049,WHEELOCK FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Williston Fire District 1,Williston,Fire District,Water,212,1,TRUE,FALSE,VT0005100,WILLISTON FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Cold Brook Fire District 1,Wilmington,Fire District,Water & WW,700,2,FALSE,TRUE,VT0005313,COLD BROOK FIRE DISTRICT 1,100,auto_confident,Y,
Worcester Fire District 1,Worcester,Fire District,Water & WW,350,1,TRUE,FALSE,VT0005289,WORCESTER FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy
Champlain Water District,South Burlington,Water District,Water,,2,FALSE,TRUE,VT0005092,CHAMPLAIN WATER DISTRICT,100,auto_confident,Y,
Derby Line Village Water District,Derby,Water District,Water,,1,TRUE,FALSE,VT0020568,DERBY LINE VILLAGE WATER DISTRICT,100,auto_confident,Y,service_area_proxy
Elmore Water District,Elmore,Water District,Water,,1,TRUE,FALSE,VT0005152,ELMORE WATER DISTRICT,100,auto_confident,Y,service_area_proxy
Grand Isle Consolidated Water District,Grand Isle,Water District,Water,,2,FALSE,FALSE,VT0020614,GRAND ISLE CONSOLIDATED WATER DISTRICT,100,auto_confident,Y,
Tri Town Water District,Bridport,Water District,Water,,1,TRUE,FALSE,VT0005001,TRI TOWN WATER DISTRICT,100,auto_confident,Y,service_area_proxy
Vergennes Panton Water District,Vergennes,Water District,Water,,1,TRUE,FALSE,VT0005010,VERGENNES PANTON WATER DISTRICT,100,auto_confident,Y,service_area_proxy
Wilmington Water District,Wilmington,Water District,Water,,2,FALSE,FALSE,VT0005310,WILMINGTON WATER DIST,91.30434782608697,auto_confident,Y,
North Branch Fire District 1,Dover,Fire District,WW,,1,TRUE,TRUE,VT0005211,,,,,
Sherburne Fire District 1,Killington,Fire District,WW,,1,TRUE,FALSE,VT0005602,,,,,
