source,district_name,charter_chapter,charter_url,matched_pwsid,matched_pws_name,match_score,match_status,has_service_polygon,has_political_bnd
epa_system,GLEN PARK,,,VT0020605,GLEN PARK,,unmatched_system,Y,N
epa_system,NEWPORT CITY WATER SYSTEM,,,VT0005202,NEWPORT CITY WATER SYSTEM,,unmatched_system,Y,N
epa_system,HARTFORD WATER DEPT,,,VT0005319,HARTFORD WATER DEPT,,unmatched_system,Y,N
epa_system,STOWE WATER DEPT,,,VT0005163,STOWE WATER DEPT,,unmatched_system,Y,N
epa_system,BRATTLEBORO WATER DEPT,,,VT0005290,BRATTLEBORO WATER DEPT,,unmatched_system,Y,N
epa_system,CASTLETON FIRE DISTRICT 1,,,VT0005212,CASTLETON FIRE DISTRICT 1,,unmatched_system,Y,N
epa_system,WINDY HOLLOW,,,VT0005594,WINDY HOLLOW,,unmatched_system,Y,N
epa_system,CASTLETON FIRE DISTRICT 3,,,VT0020889,CASTLETON FIRE DISTRICT 3,,unmatched_system,Y,N
epa_system,MANCHESTER WATER DEPT,,,VT0005022,MANCHESTER WATER DEPT,,unmatched_system,Y,N
epa_system,TRI TOWN WATER DISTRICT,,,VT0005001,TRI TOWN WATER DISTRICT,,unmatched_system,Y,N
epa_system,EAST MIDDLEBURY FD 1,,,VT0005003,EAST MIDDLEBURY FD 1,,unmatched_system,Y,N
epa_system,MIDDLEBURY WATER DEPT,,,VT0005004,MIDDLEBURY WATER DEPT,,unmatched_system,Y,N
epa_system,STARKSBORO VILLAGE WATER COOP,,,VT0005005,STARKSBORO VILLAGE WATER COOP,,unmatched_system,Y,N
epa_system,BROOKSIDE MHP,,,VT0005006,BROOKSIDE MHP,,unmatched_system,Y,N
epa_system,LAZY BROOK MHP,,,VT0005007,LAZY BROOK MHP,,unmatched_system,Y,N
epa_system,WHITING WATER CORP,,,VT0005012,WHITING WATER CORP,,unmatched_system,Y,N
epa_system,ARLINGTON WATER DEPT,,,VT0005013,ARLINGTON WATER DEPT,,unmatched_system,Y,N
epa_system,NORTH BENNINGTON WATER DEPT,,,VT0005017,NORTH BENNINGTON WATER DEPT,,unmatched_system,Y,N
epa_system,WEST ROAD MHP,,,VT0005018,WEST ROAD MHP,,unmatched_system,Y,N
